5353237;"Accounting";"finance, accounting";"Accounting firms are plentiful, a simple online search will bring up the names and numbers you need for cold calling. Be aware that cold calls may not be welcomed, or accepted, during tax time. Between January and April accounting firms are insanely busy and it is probably best to leave them alone. The rest of the year cold calls should not be a problem. Know your stuff and keep it factual, we know how dry some of those accounts can be."
5353241;"Finance";"finance";"Finance professionals can be somewhat difficult to reach by telephone or in person.  The key to reaching a business that is so fast-moving is to lead with a strong connection statement.  This will create bridge between you and your target by offering a way that they can relate to you. From there, be sure to keep in mind that they have customers to tend to and write your script accordingly."
5353245;"Advertising";"marketing, advertising";"Advertising is an essential part of any business, no matter how small. There are many different ways to advertise, online and offline. Some cost a substantial amount of money, while others are completely free. The best thing is to have at least four main sources of advertising going at one time. Start with one, and then build up as the revenue starts to roll in. If something does not work, change it."
5353249;"Public Relations";"pr, marketing";"Public relations professionals are easy to reach over the phone or in person, but the business is very fast paced. The best way to appeal to this market is to be as concise as possible while presenting the ways that you can offer them value.  Be sure to include free marketing services or public exposure on a blog, website or social media medium in your script to grab their attention."
5353253;"Anthropology";"science, publicsector";"The field of anthropology can be a difficult cold call environment. Most of the money is found in a smallish number of collegiate research centers where many relationships already exist. If your idea is worthwhile however, and you can get a foot in the door, the potential rewards are vast with government grants providing plenty of buyers for your product or service. Be quick and to the point with anthropologists as members of academia are not usually fond of small talk."
5353257;"Archeology";"science, publicsector";"Archeology is a difficult field for cold calling. As in many other academic fields, the number of archeology purveyors is small and many relationships already exist. When cold calling an academic, focus on rational arguments and complement their work. It won't always pay off immediately, but it could lead to good outcomes when the archeologist lands their next research contract. It may be hard to get your foot in the door, but there are many rewards if you should."
5353261;"Architect";"engineering";"The architecture field presents a unique mix of risks and opportunities. To make successful architect cold calls, it helps to focus your efforts on cities undergoing a construction boom. Even if you focus your efforts on the right area, the going can be difficult due to the competition in the industry. Focus your pitch on how you can save architects time or money, or increase the safety of their projects, to find the most success."
5353265;"Arts and Entertainment";"arts";"Those involved in the Arts and/or Entertainment vary on the difficulty of not only contacting them but keeping them on the line long enough to get your point across. Chances are that if they've been in the business for a long time, it may be more difficult. On the other hand, if you can grab their attention by offering them a service that would help them in any way by making their job easier then those working in the Arts and Entertainment industry may be more keen on lending an ear."
5353269;"Aviation";"engineering";"The aviation industry is a promising environment for cold call sales. Aviation companies are typically very large and diverse, therefore they offer many opportunities for those with the right product and service. Because of their size, most aviation companies have a dedicated sales staff so time constraints on your pitch not critical. Keep your sales pitch professional, and emphasize potential sales, production or safety increases, and you should find plenty of cold call aviation opportunities."
5353273;"Broadcast";"advertising, tv, arts";"The cold calling environment in the broadcast industry may appear intimidating due to the names involved, but the constant influx of advertising dollars makes it an easy industry to approach. When cold calling for the broadcast industry, emphasize the great ratio of potential customers reached versus dollars spent. When pitching ideas to the broadcast industry, stay professional and deferential of the big boys in the game and there will be plenty of sales to go around."
5353277;"Business";"business, marketing";"The business field is probably the number one environment for cold calls. Due to the extreme competition, all business will be willing to listen to a cold call in order to get a leg up. Most of the people you will be calling are professionals and will be willing to talk as long as your pitch is in order. Stress the bottom line and time benefits of your product or service when selling to someone in the business field."
5353281;"Communications";"pr, marketing";"Communications professionals present a unique set of challenges and opportunities for cold calling.  Although they are relatively easy to get in touch with over the phone, they typically do not give their attention for very long. When crafting a script for a communications professional keep in mind that they manage large volumes of calls on a daily basis.  For best results be sure that scrips are clear and straight to the point."
5353285;"Media";"advertising, tv";"Media outlets are usually very willing to take a phone call, especially if the call can produce a story idea for them.  The main objective when calling the media is to ensure that the story idea comes across the appropriate desk in order to develop the interest in the subject.  The idea needs to be solid and newsworthy; a media outlet will not take on a topic unless there is widespread interest in it."
5353289;"Computer";"tech";"The computer industry is a very hot field for cold calling. Businesses are constantly feeling the need to buy or upgrade their equipment. Once that equipment is purchased, there is never a lack of service opportunities. Computing is a high growth industry and the cold calling opportunities should be substantial. Know your product or service well enough to answer some detailed questions and the sales should flow in."
5353293;"Construction";"construction";"The field of construction presents a variety of opportunities for cold calling. When calling people for construction services, offer a way to save money and people will listen. When cold calling contractors, offer a product that saves time or money and they will listen. No matter your angle, there is always business to be had in construction. Although the field is competitive, this booming industry offers any good idea a chance to succeed."
5353297;"Dance";"arts";"When you call a dance company to promote your product, it is important to be prepared to discuss why your product will be beneficial to the company. Dance companies are often owned by one or two people and it may be very easy to convenience the individual that they could benefit from your product if you do a bit of research about the company before you make the phone call. This will allow you to appeal to the persons unique needs and wants."
5353301;"Education";"education, publicsector";"When dealing with educational institutions like colleges or grade schools, it is important to know that they are usually very busy dealing with students and the like.  Getting to the point quickly and effectively is the best way to keep them intrigue while on the line with them.  Keep this in mind while you are making your cold calls, as they have plenty of very important things to take care of during the day and will not stay on the line an extended period of time."
